timestamp,cripto,moeda_base,preco
2025-05-30 20:16:29.339651,solana,eur,138.99
2025-05-30 20:17:29.447869,bitcoin,brl,596382.0
2025-05-30 20:17:29.447869,bitcoin,usd,104171.0
2025-05-30 20:17:29.447869,bitcoin,eur,91800.0
2025-05-30 20:17:29.447869,ethereum,brl,14503.75
2025-05-30 20:17:29.447869,ethereum,usd,2533.41
2025-05-30 20:17:29.447869,ethereum,eur,2232.54
2025-05-30 20:17:29.447869,solana,brl,902.97
2025-05-30 20:17:29.447869,solana,usd,157.72
2025-05-30 20:17:29.447869,solana,eur,138.99
2025-05-30 20:18:29.764672,bitcoin,brl,596263.0
2025-05-30 20:18:29.764672,bitcoin,usd,104151.0
2025-05-30 20:18:29.764672,bitcoin,eur,91782.0
2025-05-30 20:18:29.764672,ethereum,brl,14500.02
2025-05-30 20:18:29.764672,ethereum,usd,2532.75
2025-05-30 20:18:29.764672,ethereum,eur,2231.96
2025-05-30 20:18:29.764672,solana,brl,901.91
2025-05-30 20:18:29.764672,solana,usd,157.54
2025-05-30 20:18:29.764672,solana,eur,138.83
2025-05-30 20:19:30.035259,bitcoin,brl,596104.0
2025-05-30 20:19:30.035259,bitcoin,usd,104123.0
2025-05-30 20:19:30.035259,bitcoin,eur,91757.0
2025-05-30 20:19:30.035259,ethereum,brl,14487.82
2025-05-30 20:19:30.035259,ethereum,usd,2530.62
2025-05-30 20:19:30.035259,ethereum,eur,2230.09
2025-05-30 20:19:30.035259,solana,brl,900.52
2025-05-30 20:19:30.035259,solana,usd,157.3
2025-05-30 20:19:30.035259,solana,eur,138.62
2025-05-30 20:20:30.144925,bitcoin,brl,596104.0
2025-05-30 20:20:30.144925,bitcoin,usd,104123.0
2025-05-30 20:20:30.144925,bitcoin,eur,91757.0
2025-05-30 20:20:30.144925,ethereum,brl,14487.82
2025-05-30 20:20:30.144925,ethereum,usd,2530.62
2025-05-30 20:20:30.144925,ethereum,eur,2230.09
2025-05-30 20:20:30.144925,solana,brl,900.52
2025-05-30 20:20:30.144925,solana,usd,157.3
2025-05-30 20:20:30.144925,solana,eur,138.62
